turn_num,op_name,my_hp,op_hp,my_type1,my_type2,op_type1,op_type2,my_status,op_status,my_speed,op_speedwin
turn1,Horn Attack,Bulbasaur,32.0,41.0,Ground,Rock,Grass,Poison,0,0,1255,2255,False
turn2,Horn Attack,Bulbasaur,-58.0,41.0,Ground,Rock,Grass,Poison,0,0,1255,2255,False
turn1,Horn Attack,Ivysaur,22.0,73.0,Ground,Rock,Grass,Poison,0,0,1255,3005,False
turn2,Horn Attack,Ivysaur,-85.0,73.0,Ground,Rock,Grass,Poison,0,0,1255,3005,False
turn1,Take Down,Venusaur,-867.0,140,Ground,Rock,Grass,Poison,0,0,1255,4005,False
turn1,Take Down,Charmander,45.0,22.0,Ground,Rock,Fire,,0,0,1255,3255,False
turn2,Take Down,Charmander,-32.0,22.0,Ground,Rock,Fire,,0,0,1255,3255,False
turn1,Take Down,Charmeleon,45.0,64.0,Ground,Rock,Fire,,0,0,1255,4005,False
turn2,Take Down,Charmeleon,-46.0,64.0,Ground,Rock,Fire,,0,0,1255,4005,False
turn1,Take Down,Charizard,22.0,93.0,Ground,Rock,Fire,Flying,0,0,1255,5005,False
turn2,Take Down,Charizard,-91.0,93.0,Ground,Rock,Fire,Flying,0,0,1255,5005,False
turn1,Take Down,Squirtle,-345.0,104,Ground,Rock,Water,,0,0,1255,2155,False
turn1,Take Down,Wartortle,-489.0,119,Ground,Rock,Water,,0,0,1255,2905,False
turn1,Take Down,Blastoise,103.0,108.0,Ground,Rock,Water,,0,0,1255,3905,False
turn2,Take Down,Blastoise,62.0,75.0,Ground,Rock,Water,,0,0,1255,3905,False
turn3,Take Down,Blastoise,23.0,44.0,Ground,Rock,Water,,0,0,1255,3905,False
turn4,Take Down,Blastoise,-7.0,44.0,Ground,Rock,Water,,0,0,1255,3905,False
turn1,Take Down,Caterpie,92.0,17.0,Ground,Rock,Bug,,0,0,1255,2255,True
turn2,Take Down,Caterpie,44.0,-80.0,Ground,Rock,Bug,,0,0,1255,2255,True
turn1,Take Down,Metapod,111.0,57.0,Ground,Rock,Bug,,0,0,1255,1505,True
turn2,Take Down,Metapod,80.0,1.0,Ground,Rock,Bug,,0,0,1255,1505,True
turn3,Take Down,Metapod,49.0,-60.0,Ground,Rock,Bug,,0,0,1255,1505,True
turn1,Take Down,Butterfree,124.0,120,Ground,Rock,Bug,Flying,0,0,1255,3505,False
turn2,Take Down,Butterfree,35.0,120,Ground,Rock,Bug,Flying,1,0,1255,3505,False
turn3,Take Down,Butterfree,-58.0,120,Ground,Rock,Bug,Flying,1,0,1255,3505,False
turn1,Take Down,Weedle,89.0,1.0,Ground,Rock,Bug,Poison,0,0,1255,2505,True
turn2,Take Down,Weedle,35.0,-109.0,Ground,Rock,Bug,Poison,0,0,1255,2505,True
turn1,Take Down,Kakuna,106.0,44.0,Ground,Rock,Bug,Poison,0,0,1255,1755,True
turn2,Take Down,Kakuna,75.0,-16.0,Ground,Rock,Bug,Poison,0,0,1255,1755,True
turn1,Horn Attack,Beedrill,12.0,49.0,Ground,Rock,Bug,Poison,0,0,1255,3755,False
turn2,Horn Attack,Beedrill,-87.0,49.0,Ground,Rock,Bug,Poison,0,0,1255,3755,False
turn1,Take Down,Pidgey,94.0,21.0,Ground,Rock,Normal,Flying,0,0,1255,2805,True
turn2,Take Down,Pidgey,47.0,-52.0,Ground,Rock,Normal,Flying,0,0,1255,2805,True
turn1,Take Down,Pidgeotto,98.0,60.0,Ground,Rock,Normal,Flying,0,0,1255,3555,True
turn2,Take Down,Pidgeotto,59.0,5.0,Ground,Rock,Normal,Flying,0,0,1255,3555,True
turn3,Take Down,Pidgeotto,17.0,-53.0,Ground,Rock,Normal,Flying,0,0,1255,3555,True
turn1,Take Down,Pidgeot,102.0,99.0,Ground,Rock,Normal,Flying,0,0,1255,5055,False
turn2,Take Down,Pidgeot,63.0,54.0,Ground,Rock,Normal,Flying,0,0,1255,5055,False
